Rank,Data,Processo,Empenho,Tipo,Favorecido,CPF/CNPJ,_doc,Valor,_valor,Historico,Funcao,Subfuncao,Programa,Acao,Categoria Economica,Grupo Natureza,Elemento Despesa,Fonte Recurso
11,29/04/2026,0000118/2025,0002671/2026,Global,CATANDUVA CONSTRUTORA E PRESTADORA DE SERVICO LTDA,55.053.541/0001-70,55053541000170,"R$ 665.000,00",665000.0,"CONTRATACAO DE EMPRESA ESPECIALIZADA EM ENGENHARIA/ARQUITETURA COM A FINALIDADE DE REALIZAR SERVICOS COMUNS DE ENGENHARIA PARA REFORMA DA ANTIGA PREFEITURA, LOCALIZADA NA RUA CARLOS PRADO, ESQUINA COM A RUA TIRADENTES, Nº 55, CENTRO, MUZAMBINHO MG. CONTRATO 026/2026, VIGENTE ATE 29/12/2026.",13 - CULTURA,"391 - PATRIMONIO HISTORICO, ARTISTICO E ARQUEOLOGICO",1302 - REVITALIZACAO DOS PROPRIOS PUBLICOS,1.052 - REFORMAS IMOVEIS TOMBADOS PATRIMONIO CULTURAL,40000000000 - Despesas de Capital,44000000000 - Investimentos,44905100000 - Obras e Instalacoes,0000 - Sem Complementacao
12,05/01/2026,0000118/2025,0000345/2026,Global,G2 CONSTRUTORA LTDA,61.600.209/0001-80,61600209000180,"R$ 663.999,02",663999.02,"CONTRATACAO DE EMPRESA ESPECIALIZADA EM ENGENHARIA/ARQUITETURA COM A FINALIDADE DE REALIZAR SERVICOS COMUNS DE ENGENHARIA PARA REFORMA DA ANTIGA PREFEITURA, LOCALIZADA NA RUA CARLOS PRADO, ESQUINA COM A RUA TIRADENTES, Nº 55, CENTRO, MUZAMBINHO MG.",13 - CULTURA,"391 - PATRIMONIO HISTORICO, ARTISTICO E ARQUEOLOGICO",1302 - REVITALIZACAO DOS PROPRIOS PUBLICOS,1.052 - REFORMAS IMOVEIS TOMBADOS PATRIMONIO CULTURAL,40000000000 - Despesas de Capital,44000000000 - Investimentos,44905100000 - Obras e Instalacoes,0000 - Sem Complementacao
13,06/03/2026,0000001/2025,0000178/2026,Estimativo,SULINO TRANSPORTES LTDA,04.478.299/0001-45,04478299000145,"R$ 641.119,63",641119.63,Complementacao de empenho referente ao 3º termo aditivo de prorrogacao com vigencia de 07/03/2026 a 07/03/2027.,12 - EDUCACAO,361 - ENSINO FUNDAMENTAL,1202 - ATENDIMENTO AO TRANSPORTE ESCOLAR,2.045 - MANUTENCAO TRANSPORTE ESCOLAR,30000000000 - Despesas Correntes,33000000000 - Outras Despesas Correntes,33903900000 - Outros Servicos de Terceiros -Pessoa Juridica,0000 - Sem Complementacao
14,07/05/2026,0000001/2025,0002807/2026,Global,SULINO TRANSPORTES LTDA,04.478.299/0001-45,04478299000145,"R$ 628.909,14",628909.14,"Referente ao 5º termo aditivo. Contratacao de empresa(s) especializada (s) para prestacao de servicos de transporte escolar de alunos da Rede Municipal de Ensino e Estadual neste Municipio, conforme itinerarios e demais especificacoes contidas no edital e seus anexos.",12 - EDUCACAO,361 - ENSINO FUNDAMENTAL,1202 - ATENDIMENTO AO TRANSPORTE ESCOLAR,2.045 - MANUTENCAO TRANSPORTE ESCOLAR,30000000000 - Despesas Correntes,33000000000 - Outras Despesas Correntes,33903900000 - Outros Servicos de Terceiros -Pessoa Juridica,0000 - Sem Complementacao
15,14/04/2026,0000001/2025,0002242/2026,Global,SULINO TRANSPORTES LTDA,04.478.299/0001-45,04478299000145,"R$ 623.495,04",623495.04,"Referente ao 4º termo aditivo, quanto ao reequilibrio economico financeiro dos valores unitarios contratados, nos termos da lei 14.133/21.",12 - EDUCACAO,361 - ENSINO FUNDAMENTAL,1202 - ATENDIMENTO AO TRANSPORTE ESCOLAR,2.045 - MANUTENCAO TRANSPORTE ESCOLAR,30000000000 - Despesas Correntes,33000000000 - Outras Despesas Correntes,33903900000 - Outros Servicos de Terceiros -Pessoa Juridica,0000 - Sem Complementacao
16,14/04/2026,0000001/2025,0002207/2026,Global,SULINO TRANSPORTES LTDA,04.478.299/0001-45,04478299000145,"R$ 623.495,04",623495.04,"Contratacao de empresa(s) especializada (s) para prestacao de servicos de transporte escolar de alunos da Rede Municipal de Ensino e Estadual neste Municipio, conforme itinerarios e demais especificacoes contidas no edital e seus anexos.",12 - EDUCACAO,361 - ENSINO FUNDAMENTAL,1202 - ATENDIMENTO AO TRANSPORTE ESCOLAR,2.045 - MANUTENCAO TRANSPORTE ESCOLAR,30000000000 - Despesas Correntes,33000000000 - Outras Despesas Correntes,33903900000 - Outros Servicos de Terceiros -Pessoa Juridica,0000 - Sem Complementacao
17,16/01/2026,0000001/2026,0000373/2026,Estimativo,GRAFICA E EDITORA POSIGRAF LTDA,75.104.422/0008-82,75104422000882,"R$ 535.857,30",535857.3,"Contratacao da empresa GRAFICA E EDITORA POSIGRAF LTDA, inscrita no CNPJ sob o nº 75.104.422/0008-82, para fornecimento de material didatico/pedagogico do Sistema de Ensino Aprende Brasil, destinado as turmas do Ensino Fundamental I da rede municipal de ensino. Contrato 001/2026",12 - EDUCACAO,361 - ENSINO FUNDAMENTAL,1201 - ATENDIMENTO AO ENSINO FUNDAMENTAL,2.042 - MANUTENCAO ENSINO FUNDAMENTAL,30000000000 - Despesas Correntes,33000000000 - Outras Despesas Correntes,33903000000 - Material de Consumo,1001 - Identificacao das despesas com manutencao e desenvolvimento do ensino
18,14/01/2026,0000061/2024,0000364/2026,Global,IRMANDADE SANTA CASA DE MISERICORDIA DE MUZAMBINHO,22.830.020/0001-22,22830020000122,"R$ 513.263,93",513263.93,"Contrato para prestacao de servicos de saude no ambito hospitalar com procedimentos de media complexidade, atendimento ambulatorial, eletivo e de urgencia/emergencia; internacoes hospitalares de urgencia/emergencia; cirurgias, eletivas e de urgencia/emergencia.",10 - SAUDE,302 - ASSISTENCIA HOSPITALAR E AMBULATORIAL,1003 - ATENCAO A SAUDE DA POPULACAO,2.061 - MANUTENCAO BLOCO MEDIA COMPLEXIDADE,30000000000 - Despesas Correntes,33000000000 - Outras Despesas Correntes,33903400000 - Outras Despesas de Pessoal Decorrentes de Contratos de Terceirizacao,1002 - Identificacao das despesas com acoes e servicos publicos de saude
19,04/03/2026,0000061/2024,0001418/2026,Global,IRMANDADE SANTA CASA DE MISERICORDIA DE MUZAMBINHO,22.830.020/0001-22,22830020000122,"R$ 496.411,42",496411.42,"Contrato para prestacao de servicos de saude no ambito hospitalar com procedimentos de media complexidade, atendimento ambulatorial, eletivo e de urgencia/emergencia; internacoes hospitalares de urgencia/emergencia; cirurgias, eletivas e de urgencia/emerg. Vigencia de 05/03/2026 a 05/05/2026.",10 - SAUDE,302 - ASSISTENCIA HOSPITALAR E AMBULATORIAL,1003 - ATENCAO A SAUDE DA POPULACAO,2.061 - MANUTENCAO BLOCO MEDIA COMPLEXIDADE,30000000000 - Despesas Correntes,33000000000 - Outras Despesas Correntes,33903400000 - Outras Despesas de Pessoal Decorrentes de Contratos de Terceirizacao,1002 - Identificacao das despesas com acoes e servicos publicos de saude
20,14/01/2026,0000061/2024,0000365/2026,Global,IRMANDADE SANTA CASA DE MISERICORDIA DE MUZAMBINHO,22.830.020/0001-22,22830020000122,"R$ 490.200,28",490200.28,"Contrato para prestacao de servicos de saude no ambito hospitalar com procedimentos de media complexidade, atendimento ambulatorial, eletivo e de urgencia/emergencia; internacoes hospitalares de urgencia/emergencia; cirurgias, eletivas e de urgencia/emergencia.",10 - SAUDE,302 - ASSISTENCIA HOSPITALAR E AMBULATORIAL,1003 - ATENCAO A SAUDE DA POPULACAO,2.061 - MANUTENCAO BLOCO MEDIA COMPLEXIDADE,30000000000 - Despesas Correntes,33000000000 - Outras Despesas Correntes,33903900000 - Outros Servicos de Terceiros -Pessoa Juridica,1002 - Identificacao das despesas com acoes e servicos publicos de saude
