Rank,Data,Processo,Empenho,Tipo,Favorecido,CPF/CNPJ,_doc,Valor,_valor,Historico,Funcao,Subfuncao,Programa,Acao,Categoria Economica,Grupo Natureza,Elemento Despesa,Fonte Recurso
37,14/04/2026,0000001/2025,0002238/2026,Global,PIZA TRANSPORTES LTDA,11.298.332/0001-10,11298332000110,"R$ 348.527,72",348527.72,"Referente ao 4º termo aditivo, quanto ao reequilibrio economico financeiro dos valores unitarios contratados, nos termos da lei 14.133/21.",12 - EDUCACAO,361 - ENSINO FUNDAMENTAL,1202 - ATENDIMENTO AO TRANSPORTE ESCOLAR,2.045 - MANUTENCAO TRANSPORTE ESCOLAR,30000000000 - Despesas Correntes,33000000000 - Outras Despesas Correntes,33903900000 - Outros Servicos de Terceiros -Pessoa Juridica,0000 - Sem Complementacao
38,14/04/2026,0000001/2025,0002203/2026,Global,PIZA TRANSPORTES LTDA,11.298.332/0001-10,11298332000110,"R$ 348.527,72",348527.72,"Contratacao de empresa(s) especializada (s) para prestacao de servicos de transporte escolar de alunos da Rede Municipal de Ensino e Estadual neste Municipio, conforme itinerarios e demais especificacoes contidas no edital e seus anexos.",12 - EDUCACAO,361 - ENSINO FUNDAMENTAL,1202 - ATENDIMENTO AO TRANSPORTE ESCOLAR,2.045 - MANUTENCAO TRANSPORTE ESCOLAR,30000000000 - Despesas Correntes,33000000000 - Outras Despesas Correntes,33903900000 - Outros Servicos de Terceiros -Pessoa Juridica,0000 - Sem Complementacao
39,05/01/2026,0000002/2025,0000347/2026,Global,CONSTRUTORA JGX LTDA,42.153.187/0001-03,42153187000103,"R$ 341.277,84",341277.84,"Contratacao de empresa especializada em engenharia/arquitetura com a finalidade de realizar servicos comuns de engenharia para pavimentacao com bloquetes de trecho da estrada rural do bairro Santa Gabriela, de acordo com o CONVENIO SPOA/SE/MAPA Nº 955887/",26 - TRANSPORTE,782 - TRANSPORTE RODOVIARIO,2602 - DEPARTAMENTO DE ESTRADAS VICINAIS,1.079 - PAVIMENTACAO RECAPEAMENTO ESTRADAS VICINAIS,40000000000 - Despesas de Capital,44000000000 - Investimentos,44905100000 - Obras e Instalacoes,3110 - Identificacao das Transferencias da Uniao decorrentes de emendas parlamentares individuais
40,04/03/2026,0000061/2024,0001419/2026,Global,IRMANDADE SANTA CASA DE MISERICORDIA DE MUZAMBINHO,22.830.020/0001-22,22830020000122,"R$ 330.940,94",330940.94,"Contrato para prestacao de servicos de saude no ambito hospitalar com procedimentos de media complexidade, atendimento ambulatorial, eletivo e de urgencia/emergencia; internacoes hospitalares de urgencia/emergencia; cirurgias, eletivas e de urgencia/emerg. Vigencia de 05/03/2026 a 05/05/2026.",10 - SAUDE,302 - ASSISTENCIA HOSPITALAR E AMBULATORIAL,1003 - ATENCAO A SAUDE DA POPULACAO,2.061 - MANUTENCAO BLOCO MEDIA COMPLEXIDADE,30000000000 - Despesas Correntes,33000000000 - Outras Despesas Correntes,33903900000 - Outros Servicos de Terceiros -Pessoa Juridica,1002 - Identificacao das despesas com acoes e servicos publicos de saude
41,28/04/2026,0002478/2026,0002478/2026,Ordinario,FOLHA DE PAGAMENTO,18.668.624/0001-47,18668624000147,"R$ 315.167,68",315167.68,"FOLHA DE PAGAMENTO DE SERVIDORES MUNICIPAIS, REFERENTE A  - FOLHA GERAL DO MES DE ABRIL DE 2026.",10 - SAUDE,301 - ATENCAO BASICA,1003 - ATENCAO A SAUDE DA POPULACAO,2.058 - MANUTENCAO DA ATENCAO PRIMARIA,30000000000 - Despesas Correntes,31000000000 - Pessoal e Encargos Sociais,31901100000 - Vencimentos e Vantagens Fixas - Pessoal Civil,1002 - Identificacao das despesas com acoes e servicos publicos de saude
42,27/04/2026,0002478/2026,0002478/2026,Ordinario,FOLHA DE PAGAMENTO,18.668.624/0001-47,18668624000147,"R$ 315.167,68",315167.68,"FOLHA DE PAGAMENTO DE SERVIDORES MUNICIPAIS, REFERENTE A  - FOLHA GERAL DO MES DE ABRIL DE 2026.",10 - SAUDE,301 - ATENCAO BASICA,1003 - ATENCAO A SAUDE DA POPULACAO,2.058 - MANUTENCAO DA ATENCAO PRIMARIA,30000000000 - Despesas Correntes,31000000000 - Pessoal e Encargos Sociais,31901100000 - Vencimentos e Vantagens Fixas - Pessoal Civil,1002 - Identificacao das despesas com acoes e servicos publicos de saude
43,23/04/2026,0000043/2025,0002351/2026,Global,LINK CARD ADMINISTRADORA DE BENEFICIOS LTDA,12.039.966/0001-11,12039966000111,"R$ 302.700,00",302700.0,Referente ao 1º termo aditivo ao contrato 62/25. Contratacao da Empresa Link Card Administradora De Beneficios Ltda atraves da Adesao a Ata De Registro de Precos PRC 04/2024 Pregao 003/2024 do Consorcio Cimvales para Prestacao de servicos de Gerenciamento e Controle da frota municipal.,26 - TRANSPORTE,782 - TRANSPORTE RODOVIARIO,2602 - DEPARTAMENTO DE ESTRADAS VICINAIS,2.116 - MANUTENCAO DEPARTAMENTO ESTRADAS VICINAIS,30000000000 - Despesas Correntes,33000000000 - Outras Despesas Correntes,33903900000 - Outros Servicos de Terceiros -Pessoa Juridica,0000 - Sem Complementacao
44,05/01/2026,0000133/2024,0000313/2026,Global,SC MINAS TRANSPORTES LTDA.,35.294.771/0001-13,35294771000113,"R$ 257.460,00",257460.0,"prestacao de servicos de transporte rodoviario intermunicipal coletivo de passageiros, com fornecimento de passagens de onibus nas linhas MZB a Alfenas e Alfenas a MZB, a fim de realizar o transporte de pessoas em tratames medicos",10 - SAUDE,302 - ASSISTENCIA HOSPITALAR E AMBULATORIAL,1003 - ATENCAO A SAUDE DA POPULACAO,2.061 - MANUTENCAO BLOCO MEDIA COMPLEXIDADE,30000000000 - Despesas Correntes,33000000000 - Outras Despesas Correntes,33903900000 - Outros Servicos de Terceiros -Pessoa Juridica,1002 - Identificacao das despesas com acoes e servicos publicos de saude
45,29/01/2026,0000507/2026,0000507/2026,Ordinario,FOLHA DE PAGAMENTO,18.668.624/0001-47,18668624000147,"R$ 251.503,62",251503.62,"FOLHA DE PAGAMENTO DE SERVIDORES MUNICIPAIS, REFERENTE A  - FOLHA GERAL DO MES DE JANEIRO DE 2026.",10 - SAUDE,301 - ATENCAO BASICA,1003 - ATENCAO A SAUDE DA POPULACAO,2.058 - MANUTENCAO DA ATENCAO PRIMARIA,30000000000 - Despesas Correntes,31000000000 - Pessoal e Encargos Sociais,31901100000 - Vencimentos e Vantagens Fixas - Pessoal Civil,0000 - Sem Complementacao
46,29/01/2026,0000510/2026,0000510/2026,Ordinario,FOLHA DE PAGAMENTO,18.668.624/0001-47,18668624000147,"R$ 248.038,92",248038.92,"FOLHA DE PAGAMENTO DE SERVIDORES MUNICIPAIS, REFERENTE A  - FOLHA GERAL DO MES DE JANEIRO DE 2026.",10 - SAUDE,302 - ASSISTENCIA HOSPITALAR E AMBULATORIAL,1003 - ATENCAO A SAUDE DA POPULACAO,2.061 - MANUTENCAO BLOCO MEDIA COMPLEXIDADE,30000000000 - Despesas Correntes,31000000000 - Pessoal e Encargos Sociais,31901100000 - Vencimentos e Vantagens Fixas - Pessoal Civil,1002 - Identificacao das despesas com acoes e servicos publicos de saude
47,28/04/2026,0002486/2026,0002486/2026,Ordinario,FOLHA DE PAGAMENTO,18.668.624/0001-47,18668624000147,"R$ 245.938,36",245938.36,"FOLHA DE PAGAMENTO DE SERVIDORES MUNICIPAIS, REFERENTE A  - FOLHA GERAL DO MES DE ABRIL DE 2026.",10 - SAUDE,302 - ASSISTENCIA HOSPITALAR E AMBULATORIAL,1003 - ATENCAO A SAUDE DA POPULACAO,2.061 - MANUTENCAO BLOCO MEDIA COMPLEXIDADE,30000000000 - Despesas Correntes,31000000000 - Pessoal e Encargos Sociais,31901100000 - Vencimentos e Vantagens Fixas - Pessoal Civil,1002 - Identificacao das despesas com acoes e servicos publicos de saude
48,27/04/2026,0002486/2026,0002486/2026,Ordinario,FOLHA DE PAGAMENTO,18.668.624/0001-47,18668624000147,"R$ 245.938,36",245938.36,"FOLHA DE PAGAMENTO DE SERVIDORES MUNICIPAIS, REFERENTE A  - FOLHA GERAL DO MES DE ABRIL DE 2026.",10 - SAUDE,302 - ASSISTENCIA HOSPITALAR E AMBULATORIAL,1003 - ATENCAO A SAUDE DA POPULACAO,2.061 - MANUTENCAO BLOCO MEDIA COMPLEXIDADE,30000000000 - Despesas Correntes,31000000000 - Pessoal e Encargos Sociais,31901100000 - Vencimentos e Vantagens Fixas - Pessoal Civil,1002 - Identificacao das despesas com acoes e servicos publicos de saude
49,04/05/2026,0000061/2024,0001420/2026,Global,IRMANDADE SANTA CASA DE MISERICORDIA DE MUZAMBINHO,22.830.020/0001-22,22830020000122,"R$ 239.634,00",239634.0,REFERENTE AO 12º TERMO ADITIVO.,10 - SAUDE,302 - ASSISTENCIA HOSPITALAR E AMBULATORIAL,1003 - ATENCAO A SAUDE DA POPULACAO,2.061 - MANUTENCAO BLOCO MEDIA COMPLEXIDADE,30000000000 - Despesas Correntes,33000000000 - Outras Despesas Correntes,33903900000 - Outros Servicos de Terceiros -Pessoa Juridica,0000 - Sem Complementacao
50,04/03/2026,0000061/2024,0001420/2026,Global,IRMANDADE SANTA CASA DE MISERICORDIA DE MUZAMBINHO,22.830.020/0001-22,22830020000122,"R$ 239.634,00",239634.0,"Contrato para prestacao de servicos de saude no ambito hospitalar com procedimentos de media complexidade, atendimento ambulatorial, eletivo e de urgencia/emergencia; internacoes hospitalares de urgencia/emergencia; cirurgias, eletivas e de urgencia/emerg. Vigencia 05/03/2026 a 05/05/2026.",10 - SAUDE,302 - ASSISTENCIA HOSPITALAR E AMBULATORIAL,1003 - ATENCAO A SAUDE DA POPULACAO,2.061 - MANUTENCAO BLOCO MEDIA COMPLEXIDADE,30000000000 - Despesas Correntes,33000000000 - Outras Despesas Correntes,33903900000 - Outros Servicos de Terceiros -Pessoa Juridica,0000 - Sem Complementacao
